"CODIGO_ESTADO","NOMBRE_ESTADO","ELECCIONES","NOMINAL","PAN","PCONV","PH","PMC","PMOR","PNA","PPM","PRD","PRI","PS","PSD","PSM","PT","PVEM","IND1_DIF15","IND2_DIF15","NO_REG"
13,"hidalgo","sen-2012",0,287814,0,0,13484,0,65495,0,258860,436977,0,0,0,29877,38186,0,0,502
14,"jalisco","dif-2009",5012538,940741,56825,0,0,0,72956,2354,151224,972093,0,23919,2537,69200,226149,0,0,3777
14,"jalisco","dif-2012",0,1026700,0,0,399558,0,109858,0,296199,1259496,0,0,0,65935,111322,0,0,2461
14,"jalisco","dif-2015",0,563087,0,57713,855046,85097,89701,0,105930,823680,81220,0,0,55707,105663,0,0,1964
14,"jalisco","prs-2012",5260351,1104996,0,0,226360,0,94117,0,480319,1323870,0,0,0,67959,47567,0,0,1511
14,"jalisco","sen-2012",0,991176,0,0,402273,0,101863,0,301530,1290941,0,0,0,66722,119312,0,0,2556
15,"mexico","dif-2009",9900487,1082259,247768,0,0,0,147662,37665,812143,2022714,0,54308,8048,212561,248231,0,0,8059
15,"mexico","dif-2012",0,1314424,0,0,201708,0,253045,0,1799204,2698493,0,0,0,188057,184425,0,0,6160
15,"mexico","dif-2015",0,927722,0,152186,246507,579208,197826,0,774433,1827111,265574,0,0,178944,167877,0,0,6481
15,"mexico","prs-2012",10396508,1253839,0,0,140047,0,161008,0,2058313,2907843,0,0,0,150219,68672,0,0,3392
15,"mexico","sen-2012",0,1317388,0,0,201433,0,213979,0,1843185,2673313,0,0,0,191605,210733,0,0,5008
16,"michoacan","dif-2009",3178196,259852,12353,0,0,0,23244,0,296068,256287,0,5463,1689,36402,101589,0,0,1414
16,"michoacan","dif-2012",0,356995,0,0,18120,0,43195,0,407278,563147,0,0,0,31307,69464,0,0,1097
16,"michoacan","dif-2015",0,310003,0,27859,73770,84936,40720,0,449698,499298,33085,0,0,69738,90826,0,0,1243
16,"michoacan","prs-2012",3133883,338046,0,0,18312,0,34475,0,470644,683798,0,0,0,28424,27733,0,0,1044
16,"michoacan","sen-2012",0,360556,0,0,19392,0,43545,0,419472,519973,0,0,0,33067,78194,0,0,1136
17,"morelos","dif-2009",1261031,128059,35933,0,0,0,30102,0,112136,191996,0,17754,909,26899,57612,0,0,637
17,"morelos","dif-2012",0,175570,0,0,25678,0,37823,0,256416,226869,0,0,0,32928,49660,0,0,842
17,"morelos","dif-2015",0,77290,0,58355,55048,68766,58855,0,112209,142847,37852,0,0,34367,60185,0,0,1194
17,"morelos","prs-2012",1311365,157348,0,0,19782,0,19060,0,314391,275981,0,0,0,29660,20665,0,0,298
17,"morelos","sen-2012",0,175696,0,0,24781,0,30461,0,252007,205647,0,0,0,33277,57887,0,0,836
18,"nayarit","dif-2009",717970,66211,1646,0,0,0,7288,0,77951,128385,0,1463,412,6714,10269,0,0,155
18,"nayarit","dif-2012",0,86425,0,0,6946,0,20414,0,91851,193493,0,0,0,14167,12873,0,0,218
18,"nayarit","dif-2015",0,61422,0,3438,10531,14812,8928,0,54757,128860,4794,0,0,9111,12430,9008,0,145
18,"nayarit","prs-2012",749692,82968,0,0,7917,0,8914,0,123665,216498,0,0,0,14296,5182,0,0,114
18,"nayarit","sen-2012",0,119006,0,0,6260,0,28012,0,79140,172399,0,0,0,13090,11066,0,0,152
19,"nuevo leon","dif-2009",3176911,666436,10142,0,0,0,81886,0,35333,752909,0,9555,1027,31551,76957,0,0,1192
19,"nuevo leon","dif-2012",0,779779,0,0,17900,0,95935,0,168266,751679,0,0,0,79120,51439,0,0,1280
19,"nuevo leon","dif-2015",0,698304,0,59529,249826,53121,87585,0,41548,584305,82578,0,0,59718,102312,15421,0,1303
19,"nuevo leon","prs-2012",3324155,802192,0,0,18543,0,62418,0,332561,653611,0,0,0,91803,16759,0,0,611
19,"nuevo leon","sen-2012",0,725086,0,0,18377,0,96704,0,174164,742444,0,0,0,80245,44922,0,0,995
20,"oaxaca","dif-2009",2438954,169447,45414,0,0,0,15755,0,164585,453344,0,22109,3496,49267,56000,0,0,9748
20,"oaxaca","dif-2012",0,297709,0,0,57495,0,36370,0,509210,442886,0,0,0,57286,67477,0,0,1407
20,"oaxaca","dif-2015",0,100586,0,12391,28427,137968,34911,0,212259,296442,42197,0,0,23700,42004,0,0,636
20,"oaxaca","prs-2012",2586212,290792,0,0,53484,0,18331,0,591320,527525,0,0,0,50984,28791,0,0,440
20,"oaxaca","sen-2012",0,338642,0,0,55576,0,31008,0,504868,440892,0,0,0,57426,50600,0,0,1246
